AuthorID,BrandID,ScreenName,InfluencerCategory,Channel
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
,7118,Sheetal Arenakeri," Automobile Journalist",ECommerceWebsites
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
,7118,Nishant Pathare," Automobile Journalist",ECommerceWebsites
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UC8apUmRl4yqvTgjMVkurbaA,7118,Nishant Pathare," Automobile Journalis",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
UClgy9CoOHivFR9aAZKc1wvA,7118,Tech@Akash," Sports",Youtube
urn:li:person:9VnZvIDAUe,7121,NULL,advance,LinkedIn
urn:li:person:9VnZvIDAUe,7121,NULL,advance,LinkedIn
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
