"RecordDate","Sentiment","Author","AuthorID","ScreenName","ChannelGroupID","IsBrandPost","PostType","BrandName","InfluencerCategory","IsAuthorInfluencer"
2023-12-16,Positive,its_m_a_f_o_o_z_,"24357465900568339",its_m_a_f_o_o_z_,3,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Negative,Saroj kumar Pradhan,"1515410976753209344",Sarojkumarjnp,1,0,11,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,Tarun Bala,"1422787944742412289",TarunBa87948769,1,0,11,TATADigital,,0
2023-12-16,Negative,The unofficial officer,"1657020026",gaddam542vamshi,1,0,11,TATADigital,,0
2023-12-16,Neutral,এসডিবি,"1403262933904216067",BasuSuhashdeb,1,0,6,TATADigital,,0
2023-12-16,Positive,its_m_a_f_o_o_z_,"24357465900568339",its_m_a_f_o_o_z_,3,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Negative,Saroj kumar Pradhan,"1515410976753209344",Sarojkumarjnp,1,0,2,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Negative,saroja pradhan,"1498566443306143747",sarojpradhanjnp,1,0,8,TATADigital,,0
2023-12-16,Neutral,Startup Talk,"1697184390491889664",StartupTalk_IN,1,0,2,TATADigital,,0
2023-12-16,Negative,Pintu Sah,"1438378037280575488",pintusah282,1,0,11,TATADigital,,0
2023-12-16,Neutral,Alok Sharma,"24419682517676295",,2,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Negative,Saroj kumar Pradhan,"1515410976753209344",Sarojkumarjnp,1,0,2,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,7,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,saroja pradhan,"1498566443306143747",sarojpradhanjnp,1,0,8,TATADigital,,0
2023-12-16,Neutral,R Anilkumar,"1706885031820738560",RAnilkumar76594,1,0,11,TATADigital,,0
2023-12-16,Neutral,Pm singh,"1479836462606471170",pmsingh09,1,0,8,TATADigital,,0
2023-12-16,Neutral,Alok Sharma,"24419682517676295",,2,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Negative,Saroj kumar Pradhan,"1515410976753209344",Sarojkumarjnp,1,0,2,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,7,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,saroja pradhan,"1498566443306143747",sarojpradhanjnp,1,0,8,TATADigital,,0
2023-12-16,Neutral,Shop bống baby2 ,"207037649150470",,2,0,2,TATADigital,,0
2023-12-16,Neutral,Air India Express,"1576890685",AirIndiaX,1,0,11,TATADigital,Redundant,1
2023-12-16,Neutral,Alok Sharma,"24419682517676295",,2,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Negative,Saroj kumar Pradhan,"1515410976753209344",Sarojkumarjnp,1,0,2,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,7,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Negative,saroja pradhan,"1498566443306143747",sarojpradhanjnp,1,0,8,TATADigital,,0
2023-12-16,Neutral,सुनिल भाभोर,"24315221494788330","",2,0,6,TATADigital,,0
2023-12-16,Positive,Professor Cardz,"1612073411995664384",ProfessorCardz,1,0,11,TATADigital,Verified Users on Twitter,1
2023-12-16,Neutral,Alok Sharma,"24419682517676295",,2,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Neutral,ICICI BANK SUPPORT,"1731811481489223680",ICICIbank_teem_,1,0,2,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,7,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364","",2,1,7,TATADigital,,0
2023-12-16,Negative,saroja pradhan,"1498566443306143747",sarojpradhanjnp,1,0,8,TATADigital,,0
2023-12-16,Neutral,सुनिल भाभोर,"24315221494788330","",2,0,6,TATADigital,,0
2023-12-16,Positive,Professor Cardz,"1612073411995664384",ProfessorCardz,1,0,8,TATADigital,Verified Users on Twitter,1
2023-12-16,Neutral,Alok Sharma,"24419682517676295",,2,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Neutral,HDFC Bank Cares,"1734835814591328257",HDFC_AN,1,0,2,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,7,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364","",2,1,7,TATADigital,,0
2023-12-16,Negative,saroja pradhan,"1498566443306143747",sarojpradhanjnp,1,0,8,TATADigital,,0
2023-12-16,Neutral,sakshichaudhary445,"24308763425438309",sakshichaudhary445,3,0,6,TATADigital,,0
2023-12-16,Neutral,Dr Zainab vora Equity researcher,"1652379007479074819",NN1603928623983,1,0,2,TATADigital,,0
2023-12-16,Negative,Alok Sharma,"24419682517676295",,2,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Neutral,mohdalamshaiekh,"24094440616837832",mohdalamshaiekh,3,0,6,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Negative,saroja pradhan,"1498566443306143747",sarojpradhanjnp,1,0,8,TATADigital,,0
2023-12-16,Neutral,_monu_kalyanpura,"24690072890606491",_monu_kalyanpura,3,0,6,TATADigital,,0
2023-12-16,Neutral,Jagjit Kaur,"1682595683122151424",JagjitKaur2015,1,0,8,TATADigital,,0
2023-12-16,Neutral,Dinesh Dhakad Nayma,"24459018573712600",,2,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Neutral,Mohd Razaq,"24142972555351471",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Positive,Amazing Credit Cards,"1661732191012007937",AmazingCreditC,1,0,2,TATADigital,Verified Users on Twitter,1
2023-12-16,Neutral,Rahmat Bhai,"24851652747753379",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Vijay Bomble,"1687441436709662720",VijayBombl7720,1,0,8,TATADigital,,0
2023-12-16,Positive,Manoj Kumar Das,"24698323303092481",,2,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Neutral,veer.bhagvan,"24245653588411489",veer.bhagvan,3,0,6,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Positive,riyaz khan,"1720832397615169536",riyaz25161,1,0,8,TATADigital,Verified Users on Twitter,1
2023-12-16,Neutral,Harikumar Akunuri,"25320633147535778",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Jagdev Singh,"1697666394060644352",TheCuriousSingh,1,0,2,TATADigital,,0
2023-12-16,Positive,Manoj Kumar Das,"24698323303092481",,2,0,4,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Neutral,Barnali Dhar,"24321986344083064",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,HDFCBank Cares,"1732018140513730560",HDFCBank_Rajesh,1,0,2,TATADigital,,0
2023-12-16,Positive,Harikumar Akunuri,"25320633147535778",,2,0,4,TATADigital,,0
2023-12-16,Negative,p n sheth,"170639735",tankara8,1,0,6,TATADigital,Tool Tagged,1
2023-12-16,Neutral,Ravinder Batti,"24720755620843045",,2,0,4,TATADigital,,0
2023-12-16,Positive,ConnectwithJJR 🇮🇳,"1632002046311424001",ConnectwithJJR,1,0,2,TATADigital,,0
2023-12-16,Neutral,Pradeep Kumar Mishra,"24346815221631595",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,HDFC Bank Support,"1734867110105624576",Support_Hdfc_,1,0,11,TATADigital,,0
2023-12-16,Neutral,Nước chấm thịt nướng,"372671790121951",,2,0,2,TATADigital,,0
2023-12-16,Negative,p n sheth,"170639735",tankara8,1,0,6,TATADigital,Tool Tagged,1
2023-12-16,Neutral,HP,"2794021136",WTP_Financial,1,0,2,TATADigital,,0
2023-12-16,Positive,ConnectwithJJR 🇮🇳,"1632002046311424001",ConnectwithJJR,1,0,2,TATADigital,,0
2023-12-16,Neutral,Raju S,"24384806941165031",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,HDFC Bank Support,"1734867110105624576",Support_Hdfc_,1,0,2,TATADigital,,0
2023-12-16,Neutral,धरती पुत्र्,"4890991301003008",,2,0,4,TATADigital,,0
2023-12-16,Negative,p n sheth,"170639735",tankara8,1,0,6,TATADigital,Tool Tagged,1
2023-12-16,Neutral,HP,"2794021136",WTP_Financial,1,0,11,TATADigital,,0
2023-12-16,Neutral,SAKSHI AGNIHOTRI,"1692547073235959808",SAgnihotri63150,1,0,8,TATADigital,,0
2023-12-16,Neutral,Jaya Naik,"24397052719940997","",2,0,6,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364","",2,1,7,TATADigital,,0
2023-12-16,Neutral,ICICI Bank Supoort,"1732945338833715200",ICICI_SUPOORT,1,0,2,TATADigital,,0
2023-12-16,Positive,Subhash Sirswal,"5127384354025883",,2,0,4,TATADigital,,0
2023-12-16,Negative,p n sheth,"170639735",tankara8,1,0,6,TATADigital,Tool Tagged,1
2023-12-16,Neutral,HP,"2794021136",WTP_Financial,1,0,11,TATADigital,,0
2023-12-16,Neutral,SAKSHI AGNIHOTRI,"1692547073235959808",SAgnihotri63150,1,0,8,TATADigital,,0
2023-12-16,Neutral,Dharmendra Chaturvedi,"24685304987751280",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,Ranjana Sood,"24315911438055491",,2,0,4,TATADigital,,0
2023-12-16,Negative,Amal Prakash,"6302392286512729","",2,0,6,TATADigital,,0
2023-12-16,Negative,p n sheth,"170639735",tankara8,1,0,6,TATADigital,Tool Tagged,1
2023-12-16,Neutral,HP,"2794021136",WTP_Financial,1,0,11,TATADigital,,0
2023-12-16,Neutral,HDFC Bank Cares,"1733809884431560704",HDFCBank_Car41,1,0,2,TATADigital,,0
2023-12-16,Neutral,Smaran Nagaraj,"2860298472",SmaranNagaraj,1,0,2,TATADigital,,0
