"InsertedDate","TicketID","BrandID","FirstlevelTAT_Seconds","TotalTAT_Seconds","IsTicketClosed","AssignToAgentUserID","ClosedBy","BrandName"
2023-12-05,435167,6954,,31631,1,,13250,TATADigital
2023-12-05,435156,6954,,31661,1,,13250,TATADigital
2023-12-05,435157,6954,,31659,1,,13250,TATADigital
2023-12-05,435158,6954,,31658,1,,13250,TATADigital
2023-12-05,435159,6954,,31658,1,,13250,TATADigital
2023-12-05,435160,6954,,31649,1,,13250,TATADigital
2023-12-05,435161,6954,,31646,1,,13250,TATADigital
2023-12-05,435150,6954,,31669,1,,13250,TATADigital
2023-12-05,435151,6954,,31668,1,,13250,TATADigital
2023-12-05,435152,6954,,31666,1,,13250,TATADigital
2023-12-05,435153,6954,,31664,1,,13250,TATADigital
2023-12-05,435154,6954,,31662,1,,13250,TATADigital
2023-12-05,435155,6954,,31661,1,,13250,TATADigital
2023-12-05,435144,6954,,31676,1,,13250,TATADigital
2023-12-05,435145,6954,,31675,1,,13250,TATADigital
2023-12-05,435146,6954,,31672,1,,13250,TATADigital
2023-12-05,435147,6954,,31671,1,,13250,TATADigital
2023-12-05,435148,6954,,31671,1,,13250,TATADigital
2023-12-05,435149,6954,,31670,1,,13250,TATADigital
2023-12-05,435138,6954,,31773,1,,13250,TATADigital
2023-12-05,435139,6954,,31771,1,,13250,TATADigital
2023-12-05,435140,6954,,31770,1,,13250,TATADigital
2023-12-05,435141,6954,,31769,1,,13250,TATADigital
2023-12-05,435142,6954,,31769,1,,13250,TATADigital
2023-12-05,435143,6954,,31767,1,,13250,TATADigital
2023-12-05,435132,6954,,31775,1,,13250,TATADigital
2023-12-05,435133,6954,,31778,1,,13250,TATADigital
2023-12-05,435134,6954,,31776,1,,13250,TATADigital
2023-12-05,435135,6954,,31775,1,,13250,TATADigital
2023-12-05,435136,6954,,31775,1,,13250,TATADigital
2023-12-05,435137,6954,,31774,1,,13250,TATADigital
2023-12-05,435126,6954,,31790,1,,13250,TATADigital
2023-12-05,435127,6954,,31789,1,,13250,TATADigital
2023-12-05,435128,6954,,31779,1,,13250,TATADigital
2023-12-05,435129,6954,,31778,1,,13250,TATADigital
2023-12-05,435130,6954,,31777,1,,13250,TATADigital
2023-12-05,435131,6954,,31776,1,,13250,TATADigital
2023-12-05,435120,6954,,31798,1,,13250,TATADigital
2023-12-05,435121,6954,,31796,1,,13250,TATADigital
2023-12-05,435122,6954,,31795,1,,13250,TATADigital
2023-12-05,435123,6954,,31794,1,,13250,TATADigital
2023-12-05,435124,6954,,31792,1,,13250,TATADigital
2023-12-05,435125,6954,,31791,1,,13250,TATADigital
2023-12-05,435114,6954,,31854,1,,13250,TATADigital
2023-12-05,435115,6954,,31852,1,,13250,TATADigital
2023-12-05,435116,6954,,31851,1,,13250,TATADigital
2023-12-05,435117,6954,,31801,1,,13250,TATADigital
2023-12-05,435118,6954,,31800,1,,13250,TATADigital
2023-12-05,435119,6954,,31799,1,,13250,TATADigital
2023-12-05,435108,6954,,31865,1,,13250,TATADigital
2023-12-05,435109,6954,,31863,1,,13250,TATADigital
2023-12-05,435110,6954,,31862,1,,13250,TATADigital
2023-12-05,435111,6954,,31859,1,,13250,TATADigital
2023-12-05,435112,6954,,31858,1,,13250,TATADigital
2023-12-05,435113,6954,,31855,1,,13250,TATADigital
2023-12-05,435102,6954,,31891,1,,13250,TATADigital
2023-12-05,435103,6954,,31889,1,,13250,TATADigital
2023-12-05,435104,6954,,31885,1,,13250,TATADigital
2023-12-05,435105,6954,,31871,1,,13250,TATADigital
2023-12-05,435106,6954,,31868,1,,13250,TATADigital
2023-12-05,435107,6954,,31866,1,,13250,TATADigital
2023-12-05,435096,6954,,31894,1,,13250,TATADigital
2023-12-05,435097,6954,,31893,1,,13250,TATADigital
2023-12-05,435098,6954,,31892,1,,13250,TATADigital
2023-12-05,435099,6954,,31891,1,,13250,TATADigital
2023-12-05,435100,6954,,31890,1,,13250,TATADigital
2023-12-05,435101,6954,,31891,1,,13250,TATADigital
2023-12-05,435090,6954,,31906,1,,13250,TATADigital
2023-12-05,435091,6954,,31904,1,,13250,TATADigital
2023-12-05,435092,6954,,31904,1,,13250,TATADigital
2023-12-05,435093,6954,,31901,1,,13250,TATADigital
2023-12-05,435094,6954,,31899,1,,13250,TATADigital
2023-12-05,435095,6954,,31898,1,,13250,TATADigital
2023-12-05,435084,6954,,31930,1,,13250,TATADigital
2023-12-05,435085,6954,,31928,1,,13250,TATADigital
2023-12-05,435086,6954,,31925,1,,13250,TATADigital
2023-12-05,435087,6954,,31909,1,,13250,TATADigital
2023-12-05,435088,6954,,31908,1,,13250,TATADigital
2023-12-05,435089,6954,,31907,1,,13250,TATADigital
2023-12-05,435078,6954,,31937,1,,13250,TATADigital
2023-12-05,435079,6954,,31935,1,,13250,TATADigital
2023-12-05,435080,6954,,31934,1,,13250,TATADigital
2023-12-05,435081,6954,,31933,1,,13250,TATADigital
2023-12-05,435082,6954,,31932,1,,13250,TATADigital
2023-12-05,435083,6954,,31931,1,,13250,TATADigital
2023-12-05,435072,6954,,31947,1,,13250,TATADigital
2023-12-05,435073,6954,,31946,1,,13250,TATADigital
2023-12-05,435074,6954,,31943,1,,13250,TATADigital
2023-12-05,435075,6954,,31941,1,,13250,TATADigital
2023-12-05,435076,6954,,31940,1,,13250,TATADigital
2023-12-05,435077,6954,,31939,1,,13250,TATADigital
2023-12-05,435066,6954,,31943,1,,13250,TATADigital
2023-12-05,435067,6954,,31942,1,,13250,TATADigital
2023-12-05,435068,6954,,31941,1,,13250,TATADigital
2023-12-05,435069,6954,,31947,1,,13250,TATADigital
2023-12-05,435070,6954,,31946,1,,13250,TATADigital
2023-12-05,435071,6954,,31948,1,,13250,TATADigital
2023-12-05,435060,6954,,31951,1,,13250,TATADigital
2023-12-05,435061,6954,,31950,1,,13250,TATADigital
2023-12-05,435062,6954,,31949,1,,13250,TATADigital
2023-12-05,435063,6954,,31947,1,,13250,TATADigital
2023-12-05,435064,6954,,31946,1,,13250,TATADigital
2023-12-05,435065,6954,,31944,1,,13250,TATADigital
2023-12-05,435054,6954,,31958,1,,13250,TATADigital
2023-12-05,435055,6954,,31957,1,,13250,TATADigital
2023-12-05,435056,6954,,31955,1,,13250,TATADigital
2023-12-05,435057,6954,,31954,1,,13250,TATADigital
2023-12-05,435058,6954,,31953,1,,13250,TATADigital
2023-12-05,435059,6954,,31952,1,,13250,TATADigital
2023-12-05,435048,6954,,31971,1,,13250,TATADigital
2023-12-05,435049,6954,,31967,1,,13250,TATADigital
2023-12-05,435050,6954,,31966,1,,13250,TATADigital
2023-12-05,435051,6954,,31964,1,,13250,TATADigital
2023-12-05,435052,6954,,31963,1,,13250,TATADigital
2023-12-05,435053,6954,,31959,1,,13250,TATADigital
2023-12-05,435042,6954,,31986,1,,13250,TATADigital
2023-12-05,435043,6954,,31985,1,,13250,TATADigital
2023-12-05,435044,6954,,31984,1,,13250,TATADigital
2023-12-05,435045,6954,,31983,1,,13250,TATADigital
2023-12-05,435046,6954,,31981,1,,13250,TATADigital
2023-12-05,435047,6954,,31975,1,,13250,TATADigital
2023-12-05,435036,6954,,32006,1,,13250,TATADigital
2023-12-05,435037,6954,,32004,1,,13250,TATADigital
2023-12-05,435038,6954,,32002,1,,13250,TATADigital
2023-12-05,435039,6954,,31999,1,,13250,TATADigital
2023-12-05,435040,6954,,31993,1,,13250,TATADigital
2023-12-05,435041,6954,,31991,1,,13250,TATADigital
2023-12-05,435030,6954,,32030,1,,13250,TATADigital
2023-12-05,435031,6954,,32029,1,,13250,TATADigital
2023-12-05,435032,6954,,32026,1,,13250,TATADigital
2023-12-05,435033,6954,,32025,1,,13250,TATADigital
